company,Date,ROE(%),EPS
1101,2016,5.84,1.72
1101,2015,4.36,1.56
1101,2014,10.51,2.93
1101,2013,10.24,2.72
1101,2012,7.63,2.09
1101,2011,10.82,2.33
1101,2010,11.87,2.43
1101,2009,12.23,2.26
1101,2008,6.7,1.75
1101,2007,12.37,2.55
1101,2006,11.97,2.2
1101,2005,11.58,1.97
1101,2004,9.19,1.59
1101,2003,4.02,0.6
1101,2002,3.39,0.02
1101,2001,0.7,0.05
1101,2000,3.15,0.46
1102,2016,3.17,1.26
1102,2015,3.12,1.55
1102,2014,6.93,2.98
1102,2013,8.18,3.42
1102,2012,6.85,1.93
1102,2011,12.63,3.19
1102,2010,9.3,2.5
1102,2009,10.84,2.64
1102,2008,9.74,2.52
1102,2007,14.6,3.69
1102,2006,12.32,2.85
1102,2005,13.33,2.82
1102,2004,14.62,2.97
1102,2003,8.53,1.63
1102,2002,3.53,0.57
1102,2001,0.81,0.15
1102,2000,0.47,0.09
1103,2016,0.07,0.04
1103,2015,1.28,0.34
1103,2014,0.26,0.03
1103,2013,6.8,1.97
1103,2012,-3.96,-1.13
1103,2011,1.76,0.26
1103,2010,2.41,0.61
1103,2009,2.13,0.72
1103,2008,1.34,0.39
1103,2007,6.34,1.8
1103,2006,20.28,5.27
1103,2005,2.23,0.44
1103,2004,4.81,0.76
1103,2003,6.67,1.36
1103,2002,4.71,0.7
1103,2001,0.66,0.05
1103,2000,-4.53,-0.62
1104,2016,10.39,2.68
1104,2015,8.7,2.22
1104,2014,9.13,2.26
1104,2013,8.06,1.84
1104,2012,5.41,1.18
1104,2011,3.06,0.65
1104,2010,10.16,1.99
1104,2009,5.55,1.15
1104,2008,0.43,0.09
1104,2007,3.63,0.72
1104,2006,3.81,1.25
1104,2005,2.45,1.27
1104,2004,7.58,1.32
1104,2003,7.33,1.47
1104,2002,1.16,0.18
1104,2001,-2.59,-0.47
1104,2000,1.23,0.14
1108,2016,6.72,0.78
1108,2015,10.64,1.16
1108,2014,8.92,0.94
1108,2013,3.78,0.44
1108,2012,4.19,0.43
